concurrency,input,output,ttft_ms,itl_ms,in_tps,out_tps,model_name,tpu_size
8,1024,1,311.86902399997507,0.0,25504.700358738894,24.90693394408095,Qwen/Qwen3-8B,1
8,1024,1024,100339.06288700001,13.898855000036292,71.4762850983632,71.4762850983632,Qwen/Qwen3-8B,1
8,4096,1,0.0,0.0,314585.79214159894,76.80317190957005,Qwen/Qwen3-8B,1
8,4096,1024,0.0,0.0,138897.96704885975,34724.49176221494,Qwen/Qwen3-8B,1
8,8192,1,0.0,0.0,495111.4942190743,60.438414821664345,Qwen/Qwen3-8B,1
8,8192,1024,0.0,0.0,275284.88165587,34410.61020698375,Qwen/Qwen3-8B,1
16,1024,1,624.292865999962,0.0,25849.899460078905,25.244042441483305,Qwen/Qwen3-8B,1
16,1024,1024,214730.17230499987,13.88955050003915,71.50816630412409,71.50816630412409,Qwen/Qwen3-8B,1
16,4096,1,0.0,0.0,465683.2826005224,113.69220766614316,Qwen/Qwen3-8B,1
16,4096,1024,0.0,0.0,140837.94456634767,35209.486141586916,Qwen/Qwen3-8B,1
16,8192,1,0.0,0.0,528488.3492979511,64.51273795141005,Qwen/Qwen3-8B,1
16,8192,1024,0.0,0.0,279871.655198863,34983.956899857876,Qwen/Qwen3-8B,1
32,1024,1,1249.6097549999376,0.0,26053.654233586534,25.44302171248685,Qwen/Qwen3-8B,1
32,1024,1024,444428.2223984999,13.907389999985753,71.42717954646515,71.42717954646515,Qwen/Qwen3-8B,1
32,4096,1,0.0,0.0,519129.1533466218,126.74051595376508,Qwen/Qwen3-8B,1
32,4096,1024,0.0,0.0,141415.1943816948,35353.7985954237,Qwen/Qwen3-8B,1
32,8192,1,0.0,0.0,554031.6465765559,67.63081623248974,Qwen/Qwen3-8B,1
32,8192,1024,0.0,0.0,281814.7521799439,35226.84402249299,Qwen/Qwen3-8B,1
64,1024,1,2500.3518944999996,0.0,26068.99564426495,25.45800355885249,Qwen/Qwen3-8B,1
64,1024,1024,901306.7303435,13.889860000290355,71.54050143214846,71.54050143214846,Qwen/Qwen3-8B,1
64,4096,1,0.0,0.0,524932.0783617178,128.15724569377875,Qwen/Qwen3-8B,1
64,4096,1024,0.0,0.0,141959.3136554866,35489.82841387165,Qwen/Qwen3-8B,1
64,8192,1,0.0,0.0,578916.6987192339,70.66854232412523,Qwen/Qwen3-8B,1
64,8192,1024,0.0,0.0,283666.97721011145,35458.37215126393,Qwen/Qwen3-8B,1
